Cluster Name,Nodes Nr.,CPU,Nr. Cores,RAM(GB),TOT RAM(GB),GPU ,Tot.Nr. Cores
OpenHPC1,16,Intel Xeon Silver 4114,40,128,8192,,640
OpenHPC2,16,Intel Xeon Silver 4114,40,128,8192,,640
OpenHPC3,16,Intel Xeon Silver 4114,40,128,8192,,640
OpenHPC4,16,Intel Xeon Silver 4114,40,128,8192,,640
HPC2019,32,Intel Xeon Gold 5120,56,128,4096,,1792
HPC3,32,Intel Xeon E5-2640 v4,40,128,4096,,1280
HPC.ITC,34,Intel Xeon E5-2640 v4,40,128,4352,,1360
DL580-CPU1,1,Intel Xeon Gold 6140M ,144,1280,5120,,576
DL580-CPU2,1,Intel Xeon Gold 6140M ,144,1280,5120,,576
DL580-CPU3,1,Intel Xeon Gold 6140M ,144,1280,5120,,576
DL580-CPU4,1,Intel Xeon Gold 6140M ,144,1280,5120,,576
DL580-GPU1,1,Intel Xeon Gold 6140M ,144,1280,3840,4 x Nv Tesla V100,432
DL580-GPU2,1,Intel Xeon Gold 6140M ,144,1280,3840,4 x Nv Tesla V100,432
DL580-GPU3,1,Intel Xeon Gold 6140M ,144,1280,3840,4 x Nv Tesla V100,432
DL580-GPU4,1,Intel Xeon Gold 6140M ,144,1280,1280,4 x Nv Tesla K80,144
DL580-INF1,1,Intel Xeon Gold 5118 ,48,192,384,,96
DL580-INF2,1,Intel Xeon Gold 5118 ,48,192,384,,96
T640-TeslaT4,1,Intel Xeon Gold 6132 CPU ,56,384,384,4 x Nv Testla T4,56
,,,,,,,
Tot. 18,173,,1600,11904,79744,20,10984
