,"#","# nodes","cpu ","hyp cores","CPU ram (GB)","GPU count","GPU model","GPU ram (GB)","tot hyp cluster cores"
,4,16,"Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz",40,128,,,,2560
,1,32,"Intel(R) Xeon(R) Gold 5120 CPU @ 2.20GHz",56,128,,,,1792
,1,34,"Intel Xeon E5 2650 v3",40,128,,,,1360
,4,1,"Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz",144,1280,,,,576
,3,1,"Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz",144,1280,4,"Tesla V100-PCIe-16GB",16,432
,1,1,"Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz",144,1280,4,"Tesla K80 PCIe",12,144
"informatica",2,1,"Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz",48,192,,,,96
,1,32,"Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz",40,128,,,,1280
"informatica",1,1,"Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz",56,384,4,"Testla T4",16,56
,2,1,"AMD EPYC 7301 16-Core Processor",64,256,5,"Testla T4",16,128
"TOT",20,120, TOT # nodes 2400,776,5184,,,,8424
